word,freq
회사,44
문화,24
기업,16
복지,16
분위기,15
업무,15
사람,14
최고,14
직원,13
수평,11
개인,10
기회,10
환경,9
개개인,8
자유,8
가장,7
조직,7
성과,7
글로벌,7
스스로,7
대한,6
존중,6
자부심,6
동료,6
집중,6
연차,6
신뢰,5
자율,5
페이스북,5
정말,5
지원,5
배려,5
출퇴근,5
장점,5
혜택,5
방식,5
근무,5
눈치,5
책임,4
변화,4
